	CA	CDCA	BMCA	DCA	LCA	UDCA	GCA	GCDCA	GDCA	GUDCA	TCA	TCDCA	TDCA	TLCA	TUDCA
HQ	0.535716406	0.100373309	0.762164902	0.072266965	0.001389328	0.051490229	0.013379699	4.40753E-06	0.00137833	0.000137243	0.68741854	0.006872689	0.041823738	-1.40427E-06	0.002759548
HQ	1.49078598	0.30788755	1.742599454	0.069325294	0.000777099	0.078418297	0.03003468	3.57569E-05	0.000664455	3.62406E-05	2.973008048	0.010115313	0.068287957	0.000513227	0.001097297
HQ	0.700228815	0.117464359	0.895464096	0.066032685	0.000874242	0.073072361	0.013802758	7.95918E-05	0.000489787	7.22123E-05	1.142927921	0.006816606	0.050869222	0.000565438	0.00185185
HQ	0.72627794	0.2054853	1.381465355	0.08257295	0.000709024	0.116531035	0.016970118	9.7197E-05	0.000277213	3.46919E-05	1.526132358	0.007860909	0.080128323	0.000252952	0.002006123
HQ	0.575945561	0.188227608	1.30141063	0.048311621	0.000725838	0.089933787	0.019902026	0.000160147	4.09374E-05	0.000124557	1.137896701	0.008655205	0.044715874	0.005139071	0.005011964
HQ	1.871015457	0.207800644	2.941237506	0.207324904	0.001178356	0.15383524	0.051476095	6.98782E-06	0.005123986	3.92535E-05	2.877136263	0.007310718	0.160860216	-2.40519E-05	0.000917216
HQ	0.152723326	0.08137513	0.417082421	0.018890888	0.001896465	0.023385003	0.003267277	2.52678E-05	-2.06807E-05	2.39802E-05	0.315575114	0.006423361	0.011632134	0.001115928	0.000877262
HQ	0.460663919	0.135739461	1.267053177	0.050536042	0.000307553	0.073129578	0.020298369	-1.91059E-07	0.000414167	6.26652E-05	0.960420738	0.006663653	0.034445602	0.00082427	0.001065793
HQ	0.31436147	0.081206771	0.598835686	0.047821659	2.35371E-05	0.037675798	0.003974126	2.98764E-05	0.000544549	0.0003226	0.56853715	0.006812118	0.030060234	-2.22591E-05	0.000682248
HQ	0.447116815	0.069157243	0.70454132	0.065441327	0.000263354	0.047467086	0.00584406	7.80468E-05	0.002048498	2.09143E-05	0.548760039	0.006129384	0.033461116	7.41206E-05	0.000642805
HQ	0.152264745	0.042138669	0.156512781	0.057044377	0.000287984	0.011742016	0.00175036	8.22771E-06	-2.99984E-05	2.47995E-05	0.165419414	0.006403166	0.017042997	0.000497751	0.00037603
