ID	H.SRR1927149	H.SRR1929408	H.SRR1929484	H.SRR1929485	H.SRR1929563	H.SRR1929574	H.SRR1930121	H.SRR1930122	H.SRR1930123	H.SRR1930128	H.SRR1930132	H.SRR1930133	H.SRR1930134	H.SRR1930136	H.SRR1930138	H.SRR1930140	H.SRR1930141	H.SRR1930142	H.SRR1930143	H.SRR1930144	H.SRR1930145	H.SRR1930149	H.SRR1930176	H.SRR1930177	H.SRR1930179	H.SRR1930187	H.SRR1930244	
Ruminococcus	0.00928995	0.01067738	0.00286566	0.00208246	0.01256239	0.04478499	0.01536054	0.03226676	0.01198183	0.01071588	0.00000000	0.01488169	0.01780215	0.00202940	0.00178172	0.00149739	0.00570997	0.00194109	0.00447156	0.03421698	0.01237504	0.00616727	0.00292681	0.01279364	0.00000000	0.00350040	0.00871106	
Selenomonas	0.00232762	0.00184535	0.00255039	0.00362261	0.00068945	0.00127573	0.00081914	0.00067756	0.00091876	0.00060257	0.00000000	0.00000000	0.00144994	0.00000000	0.00000000	0.00379197	0.00211088	0.00000000	0.00000000	0.00000000	0.00030859	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Slackia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00064695	0.00000000	0.00034048	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00026092	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Solobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00021251	0.00000000	0.00062743	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Sorangium	0.00000000	0.00000000	0.00000000	0.00000000	0.00045638	0.00000000	0.00065366	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028239	0.00105616	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Sphaerochaeta	0.01094780	0.00099788	0.00000000	0.00000000	0.00000000	0.00403011	0.00037974	0.00065295	0.00764248	0.00000000	0.00000000	0.00000000	0.01785249	0.00000000	0.00000000	0.00000000	0.00476204	0.00000000	0.00000000	0.02874953	0.00063711	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Streptococcus	0.00045340	0.00033400	0.00000000	0.00000000	0.00000000	0.00000000	0.00043312	0.00063739	0.00037911	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00040886	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Subdoligranulum	0.00075153	0.00118073	0.00071476	0.00000000	0.00150292	0.00075084	0.00752167	0.00135299	0.00587497	0.00136532	0.00000000	0.00174983	0.00091297	0.00083897	0.00000000	0.00085556	0.00117458	0.00146382	0.00109807	0.00000000	0.00060039	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Succinatimonas	0.04081057	0.00311171	0.00000000	0.00000000	0.01058968	0.00354931	0.00635322	0.01506439	0.00000000	0.02338508	0.00000000	0.00000000	0.01709679	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.04344242	0.00141300	
Succinimonas	0.01885646	0.00154712	0.00000000	0.00000000	0.00000000	0.00000000	0.00025160	0.00000000	0.00025463	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00138216	0.00185912	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01645755	0.00000000	
Sutterella	0.00000000	0.00020081	0.00000000	0.00000000	0.00000000	0.00000000	0.00023395	0.00000000	0.00066908	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00236097	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
T4likevirus	0.00000000	0.00046036	0.00125619	0.00000000	0.00000000	0.00000000	0.00091206	0.00000000	0.00000000	0.00000000	0.00000000	0.01085826	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Tannerella	0.00049888	0.00080999	0.00000000	0.00000000	0.00158432	0.00102460	0.00096525	0.00077788	0.00088030	0.00111257	0.00000000	0.00000000	0.00000000	0.00077264	0.00223050	0.00000000	0.00068940	0.00188677	0.00193490	0.00175617	0.00084392	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00074493	
Treponema	0.04858521	0.02178874	0.03300749	0.04985043	0.03448930	0.00325661	0.01876475	0.03155706	0.01584284	0.00000000	0.00000000	0.00148958	0.02563276	0.00134703	0.00000000	0.00000000	0.01292525	0.00079280	0.00000000	0.00406946	0.02651213	0.00000000	0.20603647	0.00000000	0.13378703	0.27951235	0.13803262	
