ID	P.SRR1761664	P.SRR1761665	P.SRR1761666	P.SRR1761667	P.SRR1761668	P.SRR1761669	P.SRR1761670	P.SRR1761671	P.SRR1761672	P.SRR1761673	P.SRR1761674	P.SRR1761675	P.SRR1761698	P.SRR1761699	P.SRR1761700	P.SRR1761701	P.SRR1761702	P.SRR1761703	P.SRR1761704	P.SRR1761705	P.SRR1761706	P.SRR1761707	P.SRR1761708	P.SRR1761709	P.SRR1761710	P.SRR1761711	P.SRR1761712	P.SRR1761713	P.SRR1761714	P.SRR1761715	P.SRR1761716	P.SRR1761717	P.SRR1761718	P.SRR1761719	P.SRR1761720	P.SRR1761721	
Paraprevotella	0.00000000	0.00000000	0.00229445	0.00082475	0.00078706	0.00123400	0.00111622	0.00156012	0.00126402	0.00000000	0.00174473	0.00000000	0.00054407	0.00026790	0.00049194	0.00000000	0.00000000	0.00035801	0.00000000	0.00075035	0.00182266	0.00062024	0.00037425	0.00000000	0.00059296	0.00000000	0.00000000	0.00000000	0.00057200	0.00070528	0.00000000	0.00079078	0.00039828	0.00053602	0.00092615	0.00045731	
Pedosphaera	0.00000000	0.00000000	0.00000000	0.00000000	0.00133721	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Peptoclostridium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00047708	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Phascolarctobacterium	0.00000000	0.00253573	0.02727480	0.01538924	0.00188529	0.00000000	0.00145820	0.00062879	0.01249615	0.00000000	0.00341656	0.00056685	0.01631184	0.00000000	0.00623068	0.00000000	0.00000000	0.00828839	0.04311359	0.00000000	0.00000000	0.00599305	0.00235845	0.00047749	0.00326240	0.00595714	0.00000000	0.00000000	0.01731002	0.00028979	0.00000000	0.00000000	0.00131173	0.00000000	0.00950595	0.00288538	
Porphyromonas	0.00000000	0.00000000	0.00145092	0.00048490	0.00080288	0.00000000	0.00000000	0.00085207	0.00204729	0.00000000	0.00127769	0.00000000	0.00023197	0.00036350	0.00058560	0.00000000	0.00000000	0.00032847	0.00000000	0.00044354	0.00000000	0.00037111	0.00000000	0.00000000	0.00051045	0.00000000	0.00000000	0.00000000	0.00049831	0.00052049	0.00000000	0.00075304	0.00059373	0.00045789	0.00071950	0.00000000	
Prevotella	0.18302765	0.09712774	0.19457668	0.08178653	0.10241529	0.02367584	0.04187739	0.18801366	0.05366470	0.13581838	0.26753649	0.15764808	0.04541393	0.02658886	0.09036483	0.23387445	0.02497579	0.08761636	0.01533302	0.26208817	0.22912100	0.12771187	0.01908851	0.00893487	0.13331394	0.04364776	0.00430331	0.01309836	0.13819869	0.06005630	0.01639625	0.05190403	0.07906766	0.08463906	0.21150554	0.04688607	
Pseudoflavonifractor	0.00000000	0.00151986	0.00000000	0.00035624	0.00128154	0.00157074	0.00214399	0.00049413	0.00070624	0.00070200	0.00000000	0.00034704	0.00109838	0.00100542	0.00191506	0.00000000	0.00098898	0.00116943	0.00134439	0.00036586	0.00000000	0.00062752	0.00091919	0.00066294	0.00047682	0.00194467	0.00111602	0.00137555	0.00062181	0.00158089	0.00071272	0.00038722	0.00044882	0.00052552	0.00063969	0.00075682	
Roseburia	0.00332641	0.00194013	0.04131229	0.00100407	0.00049231	0.00077948	0.00143439	0.00161548	0.00082035	0.00176253	0.00232953	0.00900306	0.01731894	0.00770303	0.00199702	0.00000000	0.01418365	0.00359073	0.00508314	0.00056709	0.00173398	0.00625406	0.01504499	0.00118604	0.01221968	0.01069660	0.00681253	0.00308064	0.01493801	0.00529255	0.00233632	0.00136378	0.00526415	0.00157168	0.02346763	0.00619605	
Rothia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00059043	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Ruminiclostridium	0.00078527	0.00369887	0.00000000	0.00034842	0.00107482	0.00384037	0.00450217	0.00067716	0.00370203	0.00447812	0.00000000	0.00135356	0.00634369	0.00579842	0.00408286	0.00000000	0.00684649	0.01039384	0.01503441	0.00104798	0.00094369	0.00550548	0.00640176	0.00571461	0.00196330	0.00739151	0.00871307	0.00913956	0.00267268	0.00459354	0.00754958	0.00394278	0.00317912	0.00780666	0.00426927	0.00441147	
Ruminococcus	0.02355330	0.03817527	0.02766468	0.00359621	0.00914264	0.03795630	0.00667042	0.01117069	0.01540823	0.04599163	0.01485203	0.02203432	0.01948587	0.02719312	0.00657535	0.00570057	0.01005027	0.01623157	0.01781645	0.01119336	0.00699483	0.02979568	0.07605312	0.02736625	0.03021235	0.02934756	0.00638087	0.02173976	0.00453119	0.01744295	0.02295908	0.00559748	0.03362204	0.04252135	0.02975158	0.03405319	
Salmonella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00049552	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Selenomonas	0.00178502	0.00000000	0.00389670	0.00053027	0.00000000	0.00000000	0.00710755	0.00165366	0.00000000	0.00058400	0.00000000	0.00652337	0.00135372	0.00068054	0.00071002	0.00083295	0.00035837	0.00085246	0.00399737	0.00024928	0.00000000	0.00069398	0.00038199	0.00050156	0.00034722	0.00116293	0.00028462	0.00000000	0.00079257	0.00000000	0.00044205	0.00000000	0.00075656	0.00000000	0.00064534	0.00059243	
